aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
baba	1577552
tsla	1318605
brk-a	1067983
tsm	1046179
jpm	19617
v	1403161
jnj	200406
wmt	104169
ma	1141391
spy	884394
unh	731766
dis	1744489
lvmuy	824046
pg	80424
bac	70858
hd	354950
nvda	1045810
idcby	1445468
pypl	1633917
cmcsa	1166691
intc	50863
asml	937966
xom	34088
vz	732712
nflx	1065280
ko	21344
adbe	796343
t	732717
tm	1094517
nke	320187
csco	858877
abt	1800
cichy	1445474
cvx	93410
cihky	1495688
orcl	1341439
pfe	78003
nvs	1114448
crm	1108524
mrk	310158
orcl	1341439
pep	77476
avgo	1730168
abbv	1551152
acgby	1501437
tmo	97745
lly	59478
bhp	811809
acn	1467373
mcd	63908
txn	97476
wfc	72971
mdt	1613103
dhr	313616
nvo	353278
pdd	1737806
tmus	1283699
sftby	1065521
rds-a	1306965
cost	909832
ms	895421
hon	773840
ul	217410
c	831001
qcom	804328
sap	1000184
bbl	1171264
nee	753308
unp	100885
amgn	318154
lin	1707925
chtr	1091667
ba	12927
bmy	14272
ups	1090727
pm	1413329
bachy	1378999
shop	1594805
rtntf	887028
ry	1000275
low	60667
azn	901832
sne	313838
jd	1549802
tot	879764
sbux	829224
bud	1668717
qqq	1067839
sny	1121404
schw	316709
cat	18230
rio	863064
hsbc	1089113
td	947263
lfc	1268896
ibm	51143
hesay	1436949
rtx	101829
ptr	1108329
de	315189
hdb	1144967
gs	886982
axp	4962
amat	6951
mmm	66740
blk	1364742
ge	40545
chl	1117795
abnb	1559720
chdry	1450488
el	1001250
intu	896878
se	1703399
amt	1053507
lmt	936468
uber	1543151
sq	1512673
deo	835403
cvs	64803
tgt	27419
mu	723125
amd	2488
now	1373715
zm	1585521
mo	764180
dmlry	1067318
bkng	1075531
gsk	1131399
bti	1303523
eadsy	1378580
fis	1136893
antm	1156039
syk	310764
vale	917851
spgi	64040
ppruy	1445465
bp	313807
isrg	1035267
ci	1739940
mdlz	1103982
cni	16868
fisv	798354
sbgsy	923734
gild	882095
bidu	1329099
gm	1467858
usb	36104
cta-pa	30554
adp	8670
infy	1067491
frcoy	1446595
lrcx	707549
tjx	109198
pld	1045609
snp	1123658
snap	1564408
aiquy	1161167
bnpqy	310732
bns	9631
cpng	1834584
tfc	92230
enb	895728
pstvy	1689565
zts	1555280
cme	1156375
mufg	67088
ntes	1110646
kddiy	1106215
duk	1326160
cop	1163165
cci	1051470
pnc	713676
njdcy	1158967
csx	277948
fdx	1048911
cb	896159
hkxcy	1445476
bdx	10795
atvi	718877
atlky	748954
itw	49826
meli	1099590
shecy	1442651
esloy	1085922
byddy	1445162
bam	1001085
nsc	702165
wbk	719245
cl	21665
dnngy	1679771
chgcy	1453934
dell	1571996
shw	89800
toely	1443276
so	92122
rbgly	1420798
ice	1571949
abb	1091587
eqnr	1140625
beke	1809587
hca	860730
apd	2969
tak	1395064
vmw	1124610
mmc	62709
wday	1327811
d	715957
ecl	31462
gpn	1123360
ilmn	1110803
eqix	1101239
san	891478
safry	1364012
vcisy	1065198
adsk	769397
nio	1736541
dkily	1446519
cof	927628
bmo	927971
puk	1116578
twlo	1447669
adi	6281
mco	1059556
vrtx	875320
cfruy	948401
ubs	1610520
pgr	80661
ibn	1103838
vlvly	753762
